name,category,icon,downloads,updateDate,description
IQ Test Saga,Game,https://lh4.ggpht.com/fmKlXBW4wYbJsMQfYEHER8BqGzm89NA8Fh079JaKh6M4YFtexpsjL7Z8_8sfOjJw4P0=w300,"10,000 - 50,000","November 5, 2013","If you ask yourself 'what's my IQ?' then IQ Test Saga is for you!This game measures your Intelligence Quotient (IQ), which will allow you to know the strength of your own mind. This app tests you on verbal ability, logical reasoning and quantitative aptitude, among several other factors. You, your friends and your family can take the test unlimited times and we will provide you unique questions each time!! ;)“Imagination is more important than knowledge. For knowledge is limited to all we now know and understand, while imagination embraces the entire world, and all there ever will be to know and understand.” -Albert EinsteinStandard IQ Category Classification:> 155 = Genius!145 – 155 = Gifted135 – 144 = Very Superior125 – 134 = Superior115 – 124 = Average100 – 114 = Normal  60 – 99   = Below Normal< 60 = Feeble Minded0 = comparable to that of a Computer :)IQ of famous people:# Albert Einstein at the age of 12 - 160# Sir Isaac Newton - 190# Galileo – 185 # Bill Gates, founder of Microsoft - 160 # The great physicist, Stephen Hawking - 160# Charles Dickens - 180# Barack Obama, The President of USA - 130# George W. Bush - 125# Adolf Hitler - 141Features:# Smooth and pleasant User Interface (UI)# Seamless integration with Facebook for the first time in an IQ Test application makes the test process even more fun and social. You can now share your IQ scores on your News Feed and challenge your Facebook friends.# You get unique questions on each attempt# Option to ‘mark the question' for further review# Option to 'review’ the progress of your test anytime# Super mobility and flexibility between questions# You can see your performance in previously taken tests in the History Page# Answers (along with explanations) are displayed at the end of the each test giving you a very clear  idea of your mistakes, helping you to improve in future# Also, we have introduced a challenging concept for you where SPEED matters. Prove us that you are true GENIUS by accepting our IQ Rapid Fire Challenge!! Make unbeatable scores and challenge your Facebook friends ;)Requirements: # Android version 2.2 or above# Facebook Login for Android (Secure)Coming soon:# Question pool updates. More questions for you to rack your brains on!# Global high score listings - because competing with your friends is always fun! # Support for more languagesVisit Our Facebook Page here -  https://www.facebook.com/iqtestsagaPLEASE NOTE:  Different IQ tests have different ways of evaluation, so the test scores may differ in each. We have tried our best to keep up with the standards. Our long term goal is to ignite the gray cells of your brain and to make you proficient in adaptive tests (like GRE, GMAT, CAT, GMAT etc.) in an entertaining yet challenging way :)We recommend you to login using Facebook to get the most out of the app!keyword: iq test, iqtest, know your iq, iq test pro, iq tester, best iq test, whats my iq, brain, puzzle, cryptex challenge, 4 pics 1 word, logo quiz"
Frootrees Halloween Full Free,Game,https://lh4.ggpht.com/8XMpuSCE_1cEexBuZKVK6P-QvbIFW-5W7HW2uQTfZkM8JkY4Ousft-ilJKh8VXNDY9c=w300,"10,000 - 50,000","November 4, 2013",This is a free version of the game Frootrees Halloween made completely free by our Friends at Mango!!Insane fun for Kids & Adults alike!Pluck freaky Froot from the Frootree & place them in the correct crates. It's not as easy as it looks though with multipliers to boost your score. Can you master the infamous Frootrees upward flick?Challenge friends & family in this classic arcade-style Froot-picking extravaganza.Please email us with questions or feedback.
Steve's Stunt Bike Lite,Game,https://lh3.ggpht.com/u5K03_yW7irAc2rWaxJvLWOuPgrYQEW5sxPk5ZvCobTowaqxJJD5NpnRhal2l8C9nMY=w300,"50,000 - 100,000","October 16, 2013","PIXEL STYLE BLOCK STUNT BIKE GAMEBONUS: EXPORT YOUR FAVORITE SKINS FROM THE GAME TO YOUR OWN MINECRAFT GAME ACCOUNT (PC EDITION ONLY - NOT POCKET EDITION)Steve's got a new job. He's a stunt biker now and is ready to participate in the world stunt bike competition. And his destiny in in your hands!Control Steve on his bike, perform various tricks and get him to the finish line. After completing the difficult tracks, you and Steve will share glorious moments when winning the competition.Steve's Stunt Bike is a fun, easy to control game for all ages. This game gets even better for all Minecraft fans as you can export your favorite skins from the game to your own Minecraft Account (PC Edition only - Not Pocket Edition) with just a touch of a button.What are you waiting for? Download Steve's Stunt Bike now and have a blast winning the world competition.- Fun Bike Trick Game - Epic Graphics - Easy Control Modes: Two Buttons for moving / Two Buttons for tricks- Compatible with iPhone, iPod and iPad Bonus: Skin Exporter for Minecraft (PC Edition only - Not Pocket Edition)"
Hidden Object Halloween Deluxe,Game,https://lh3.ggpht.com/1gwZeaNqXQZwiKp66Iy1ola-NgWs8dqwfF2xq6Jb8a_BWS_nuHEYQ7PtDWEioKgJlw=w300,"10,000 - 50,000","November 4, 2013","Difference Games and best-selling artist Phatpuppy bring you the FREE Hidden Object Deluxe - Happy Halloween!This is a compilation of 4 awesome and unique games! In addition to Hidden Object, you get a relaxing Mahjong experience, a detective-themed Super Sleuth game, and a Hidden Memory game that's great for working on your memory skills!Each game in ""Happy Halloween"" contains 10 artistically-crafted levels, filled with items. Embark on a spooky adventure into a land where the weird and wicked are the norm. Journey through spine-chilling realms, but watch out for ghouls and ghosts, mutants and monsters!FEATURES:-Hidden Object game with 4 game modes and 3 ways to search for items. Training mode and hints also included.-Mahjong game that starts off easy but gets harder with each level you complete.-Super Sleuth game which is a fun twist on standard Hidden Object. Use a Magnifying Glass or Clue Cards to hunt for the hidden items.-Hidden Memory game with several game modes giving a great workout for the brain cells!Enjoy :)"
Fields of Battle,Game,https://lh6.ggpht.com/OnDm95BToczUot97r8SSYX9OgN8aH_6OFdqbBgABvX2z2uwrdTmTMDAg9lESIM8Z9LM=w300,"100,000 - 500,000","October 29, 2013","The #1 Extreme Sports FPS franchise is back!  Take your carnage anywhere as Greg Hastings Paintball presents Fields of Battle.Whether you're a paintball player or a first-person shooter fan, Fields of Battle will satisfy your desire to blast the competition!  With ground-breaking motion and gesture based controls including sliding, diving, leaning out from cover, throwing grenades, and more, Fields of Battle takes the mobile shooter experience to the next level.Think you know shooters?  This is real combat - one hit, one elimination.  Manage your gear, use cover, adjust for windage, and angle your shots.  There's no auto-aim here, it's PURE skill and PURE action! Instant Leaderboards let you play locally but compete GLOBALLY!  Compete in real-time against dozens of other players as you battle neck-and-neck for the high score in ever-changing events.“ MOGA Enhanced! Available at major retailers, carrier stores and online at http://www.MOGAanywhere.com* FREE to create your character and start playing online.* Participate in a persistent online competitive world that is constantly changing.* Compete in live online events against dozens of other players in real time.* Play at REAL locations (and a few fantasy ones!) all over the world, at more than 60 massive, authentic fields.* Customize your character and upgrade with tons of REAL gear.* An amazing arsenal of customizable weaponry, including automatic, burst mode, clip-fed, MilSim, and speedball markers, and don't forget the PAINT GRENADES!* Intuitive motion and gesture controls with full HUD and control customization.* Full 3D graphics, including detailed environments, shadows, multi-level structures, outdoor and indoor environments, and more.* Challenging weather - play in the sun, the rain, fog, and wind.* Optimized for phones and tablets.Visit our official site at http://www.gregredhastings.com"
Texas Poker Mania,Game,https://lh4.ggpht.com/84Woe_BY9Aq-0or7DZ0MdXNP0mlQXpbfx-OTVUEC4cElRXfJwYFOhwITixQ-EbCNui8=w300,"50,000 - 100,000","November 4, 2013","The #1 user experience Texas Hold'em Poker on Android! 100% FREE to play! 50K FREE chips, DAILY gift and friends gift - They're totally FREE!Exciting features that you can only experience in Texas Poker Mania:- Play casual Texas Hold'Em or Tournaments.- Play Casual Games - Slots, Blackjack, Keno, Video Poker.- Play with Friends - Join their table with a simple click of a button.- Buy a round of drinks for everyone at the table.- Facebook connect is supported.If you have any suggestion/comment/problem, please mail to: dujingdong@feelingtouch.com."
Dragon Story: Halloween,Game,https://lh5.ggpht.com/Hugh5JIlg2zqpDsC7T5i6YWV6Xn7z6gdCQKB9v_P_ZKTVvgzTHqHPvkdsLKpQGnMji4=w300,"500,000 - 1,000,000","October 24, 2013","The eeriest time of year has come to the Dragon Isles in Dragon Story: HALLOWEEN EDITION!  Thrills and chills abound as you hatch, raise, and breed HALLOWEEN-themed dragons on magical islands! Raise your dragons from babies to epic adults under the ghostly light of the full moon! - LIMITED TIME Halloween Sale - Play now and get BIG discounts!- SPOOKY NEW DRAGONS! Raven Dragon, Skeleton Dragon, Vampire Dragon, and more!- HAUNTED ISLES! Halloween scenery, featuring pumpkin patches, tombstones, mysterious hollow trees, and more!- CHILLING NEW GOALS! Costumed characters spin hair-raising new tales!- SPINE-TINGLING MUSIC! A ghoulish melody adds to the Halloween mood!Become the best Dragon Caretaker - you could be the first to discover the ultra rare Diamond Dragon!  - COLLECT strong, mysterious, and fun dragons. Each dragon moves with a lively, and sometimes quirky, personality! - EVOLVE your dragons through 4 stages to reach EPIC form! - BREED different colored dragons to raise new hybrid dragons! Can you DISCOVER the rare dragon for each color combination? - GROW magical food for your dragons. Feed them and watch them grow and evolve! - DECORATE your islands with colorful habitats, castle towers, flowers, and more! - Sharp, stunning graphics, animations, and sounds bring your dragons to life. - Invite your Facebook or Storm8 friends to play with you. Gift GOLD and help each other raise dragons! - FREE updates will introduce new colors of dragons and more!  Which dragons are your favorite? Mighty Fire Dragons, whimsical Air Dragons, mysterious Magic Dragons and many more await you in Dragon Story! Dragon Story: Halloween is the BEST looking FREE dragon game for your Android device! Please note: Dragon Story: Halloween is an online only game. Your device must have an active internet connection to play.Please note that Dragon Story: Halloween is free to play, but you can purchase in-app items with real money. To disable this feature, go to the Google Play app on your device, tap the Menu button, select Settings > Use password to restrict purchases. Then follow the directions to complete setup. In addition, Dragon Story: Halloween may link to social media services, such as Facebook, and Storm8 will have access to your information through such services.TeamLava, a Storm8 studio, is the #1 Mobile Social Game Developer on Android, iPhone, iPod Touch, and iPad.Use of this application is governed by the TeamLava Terms of Service. Collection and use of data are subject to TeamLava's Privacy Policy. Both policies are available at www.teamlava.com/terms and www.teamlava.com/privacy"
Crazy Bowling,Game,https://lh4.ggpht.com/iigI2AV8h-VaDMJeOqcRlm03rG1HuiEpLaNVhekvJH2Y4foE6iAH06yvjLr3LCJh=w300,"500,000 - 1,000,000","October 20, 2013","IT'S BOWLING TIME!Become a real bowling master, hit the bowling alley and focus to take your best shots and take down as many pins as possible.This is the best and most realistic great bowling game on the Android phones. It is the only bowling game that fully embraces the incredible great physics engine and effects.Be the world's best player in this free bowling game. How many consecutive strikes can you score? Start calculating the right distance, angel and the perfect shooting power, trust your instincts and your talent and bowl like a professional, start scoring points and boosting up your self-confidence. Become better n better and beat your own records, discover a brand new graphics and prove yourself again and again that you are a bowling master. The excitement of responding to new challenges has begun.This game is a fun little bowling app. How many strike can you get? Hope you enjoy it as much as I do!Tag:bowling,bowl,manotech,free,game,fun,love,master,talent,alley,pins,challenge,excitement,hit,shot,power,records,confidence"
Land of the Dead,Game,https://lh3.ggpht.com/Re88bV-ZeB72-HGYey26E_KYJt9J9aXHNdKTJZiPCisEKyJYiAZjatpjTkmu-eUe2Ms=w300,"50,000 - 100,000","November 4, 2013","Another chilling new horror survival adventure, featuring the living dead, by the makers of Curse Breakers and Zombie Invasion.You are a survivor of the Zombie Outbreak, it has been two weeks since the virus was released upon the world. To survive, you will need all of your wits. A gun, ammunition, and a vehicle wouldn't hurt either. It's time to explore the Land of the Dead, are you ready?Visit Facebook for HINTS and BUG REPORTS: https://www.facebook.com/pages/Land-of-the-Dead-Z/169116853291973--- Transmission Start ---Two weeks ago a Zombie Virus was released into the general public, at this time no one knows who created the virus, or what its intended purpose may be. Since the initial outbreak, all hell has broken loose, governments have collapsed and many have fallen victim to the virus.We bring you information which has just come down from the science initiative brought together by our major nations of the world. The information released has stated to watch for the following symptoms:- Aggression.- Foaming at the mouth.- Deterioration of motor skills.- Unbelievable hunger for warm flesh.Be advised that if an infected human turns hostile, the only way to put and end to them is a bullet through the head.Safe houses have been setup throughout all major cities, everyone should make there way to these zones as soon as possible. Tune in to your local emergency channels for coordinates. Stay safe, stay armed, and god help us all.--- Transmission End ---FEATURES:- Inspired by classic point and click adventure games, with a twist of horror!- Improved graphics, incredibly detailed scenes and objects.- Collect money to buy gear that will allow you to survive the zombie apocalypse!- Lots of items to collect, combine and solve puzzles with!- New blood and gore effects, be horrified!- Brand new objective list to streamline and aid you in your adventure.- Interact with NPC's, you can't do it all on your own!- Experience exciting shooting gameplay against zombies out for your brains- Many puzzles to solve and challenges to complete, use your wits!- Logical and realistic zombie outbreak scenarios.- An incredible adventure full of thrills, ammunition and the undead.- Zombies!Contact us if you have problems or comments with the app."
Creeper Defense - Zombie Hunt,Game,https://lh5.ggpht.com/o9DEC6LbgF5nnn9g72fDBdCu8QuWQ8LppChAQ32tU323OmXPnW3pXlf_vfdwjtgVLsI=w300,"50,000 - 100,000","November 4, 2013","Love thinking about the zombie apocalypse? Or just shooting down zombies? Well now try it MineCraft style!Gun down your favorite MineCraft enemies like the creeper, zombie, and zombie pig in style! Start out with your trusty pistol defending against hordes of zombies and creepers under an abandoned highway bridge. Gain gold with each kill, double for headshots, which you can use to upgrade your weapons or buy bigger and badder ones, including the AK and MK. Shoot explosive barrels when your in trouble to wipe out the area quick and gain some quick cash and bonuses.Work your way through increasingly more difficult waves of enemies while trying to unlock all the achievements!Features:• Amazing 3D Environment• MineCraft style enemies• Upgradable Weapons• Lots of Achievements• Explosions!Note: Creeper Defense 3D - Free Zombie Apocalypse Survival for MineCraft is not affiliated with Mojang AB or MineCraft.MOGA Controller support in beta form."
Parking Madness,Game,https://lh4.ggpht.com/jDGRen82eXPY-2I69HLisvIqh5IVcqgJXFsksc4heVwoqg2TElubxbugdY7EgVEskZI=w300,"100,000 - 500,000","October 31, 2013","Realistic parking experience with Parking Madness.Car enthusiasts will be sucked into this addictive game which comes with 75 levels and 3 different vehicles.The realistic steering feature is the highlight of this game which offers 3 different themes and cars.Game Features- Touch-operated steering wheel control.- Motion censor for an enhanced driving experience.- Car park, Go-Kart, Forklift - 3 themes- 75 levels- 3 vehicles.- Various locations and difficulty levels.- Realistic 3D graphics.parking,car,driving, racing, car park, 3d,forklift ,go kart,speed"
Gun Club 3: Virtual Weapon Sim,Game,https://lh6.ggpht.com/HFMvx6io0hu4ctDJBzhOw8aMOkv7hTR_fs6_kh7usJiH6a1q73LZj7ej7HOT0B5Akr0=w300,"10,000 - 50,000","November 3, 2013","Take to the range with an incredible arsenal of the world’s finest weaponry. Gun Club 3 combines challenging, addictive gameplay with stunning visuals & unsurpassed detail; the only thing missing is the smell of gun powder.PERFORMANCE PATCH COMING FOR OLDER DEVICES The newest release in the best-selling Gun Club series, Gun Club 3 brings a whole new world of excitement to the most popular gun simulator ever.UNPARALLELED REALISMHighly detailed interactive 3D weapon models. Each weapon is fully operational, features real-world ballistics, and can be panned, zoomed, and rotated to catch every angle of detail.ADVANCED CUSTOMISATIONCustom-fit your weapons with hundreds of different attachments. From scopes to lasers to grenade launchers, the picatinny rail system allows for any load-out you can imagine. Combine it with the multitude of camo options and the weapon customisation possibilities are endless. INTERACTIVE RANGESFire your weapons in a multitude of different range scenarios, from hostage rescue to long distance marksman to the dreaded zombie apocalypse. And for true shooting purists there is the classic target range. No time limits, no scores, just you and your weapon.RISE TO THE TOPSquare off against some of the best shooters in the world with Competition Mode. Shoot your way through each round of the tournament until you are finally crowned as the Ruler of the Range.FRESH CONTENTWith unique daily trials every day, regular theme packs containing new weapons, ranges, accessories, achievements, leaderboards, and the soon-to-be-released multi-player challenge mode, there is always something new to do in Gun Club 3.The best weapon sim of all time has just gotten better. Are you ready for the challenge? Gun Club 3 is free to play, and requires no in-app purchases to progress. Users do have the option to purchase items with real money. These purchases can be disabled via your device's OS settings."
Bubble Shooter Mania,Game,https://lh3.ggpht.com/ej_6EeYTRmHSAOCSLKzYBCJw0oChcPvCAx4s--YBPmtunfWVayLFAij0qI30SI8xFt8=w300,"100,000 - 500,000","October 16, 2013",Addictive bubble shooting game with lots & lots of levels to play around. Make matches of 3 and more and shoot all the bubbles.
Slots Jackpot - Best casino,Game,https://lh3.ggpht.com/hWR8w4NGe-IzxCAGN6TM_YDwMemfnZgtYscvwBZ1yHmsUyNbj1vOYVOisjQeVfL8RKM=w300,"10,000 - 50,000","November 5, 2013","★★★★ Download the BEST MULTI-SLOT game FOR FREE! ★★★★ Slots Jackpot - Best casino, has been overhauled to bring you the best in stunning graphics, hours of excitement, and most importantly FREE! With so many different realms in Slots Jackpot - Best casino, excitement is at your fingertips as you move from one theme to another. Go ahead try your luck in Mystical India, World of Maya, and many more as each one brings you EXCITEMENT, FUN, INCREDIBLE PAYOUTS! ★★ Game Features ★★ - Incredible PAYOUTS! - Various themes and realms to play slots!  Each theme, brings different bonus games, plenty of free spins, amazing graphics! - Different reel sizes! There are 5 reels - 3 symbols, 5 reels - 4 symbols, 3 reels - 3 symbols, consecutive symbols! WOW, sit back and enjoy the EXCITEMENT that comes with the feeling of the game! - Different ways to win! In the mysterious School of Magic, Once you’ve win, the symbols in win lines will be eliminated, and more of the symbols will drop giving you another chance to eliminate. - Easy to play! Quick stop the reels! Auto spin! Detail gameplay introductions! - Double / Quadruple your WIN! ★★ With so much Fun, Free Spins, Bonus Games, let your “House” Always WIN! Download it Now! ★★"
Pocket Mine,Game,https://lh3.ggpht.com/rbXM2bAdeyAVWlT-QT06TjyMoQoFwBvJE-byHFsxcDaswBFNdZ-O1VneF_yCInK1VaHm=w300,"50,000 - 100,000","November 5, 2013","The new addictive hit from the makers of Extreme Road Trip!It’s mine o’clock, time to dig! Tap the blocks to delve deeper and deeper in your Pocket Mine. Find treasure chests, rare artifacts and trigger explosive chain reactions!Build your deck of booster cards to reach your maximum digging potential and reach the top of the leaderboards!Trade with your friends to complete museum collections and get sweet rewards!The game features awesome music by Jimmy ""Big Giant Circles"" Hinson (of ""Extreme Road Trip 2"" fame) and is frequently updated with more content.== Features ==* Extremely addictive gameplay* Build your deck of booster cards to reach your maximum digging potential* Huge gratifying explosions* Catchy music that will stay with you all day* Bombs, dynamite, drills and other crazy power-ups!* Find long lost treasures and rare artifacts!* Facebook Achievements and Leaderboards* Free!"
Dice & Friends,Game,https://lh6.ggpht.com/ggJIkKC9v3qu_M9kh1mPglj-QUvB0oE7LYGv26XYoaWUP74VsZHb_-zLxHYdrUW3uA=w300,"10,000 - 50,000","November 5, 2013","Now enjoy this new beautiful Yatzy Five Dice game! Attractive 5 Red Dices will give you special luck and fun. === Why you should play ""Dice & Friends"" ===★ Multiplayer online Yatzy, Yahtzy, Yatzee, or Yahtzee game ★ Turn-based play so you can keep multiple games going at the same time★ Invite and challenge friends through Facebook★ Beautiful red color and graphics for your iPhone, iPad and iPod Touch★ Activate a bonus roll to get that extra boost just when you need it★ Play your games from any iPhone, iPad, or iPod Touch★ Free bonus roll and extra two more chance to get higher pointsFurther more..★ No Advertises! No Interrupts! No Limits! ★ and Free!Time to join Dice & Friends, the Great Five Dice Game!!== BlackZen Games ==Bingo ManiaSlot Mania!"
Dragon Era - Slots Adventure,Game,https://lh6.ggpht.com/ui81IFmZE9asOT4c6BMKxY6XqGAHrjV1z8HkxZWFra8i7BuXk7rad6lIDyw4bqUmxQ=w300,"10,000 - 50,000","November 5, 2013","**** SPECIAL PROMO: download TODAY and get a FREE MEGA RARE card ($20 value) ****A perfect combo of Slots, Cards and RPG - a UNIQUE game you MUST EXPERIENCE! Embark on an epic voyage you should never miss! - Get it for FREE today!■ SIMPLE & ADDICTIVE Spin the Slot Machine to attack enemies and bosses!■ BEAUTIFUL CHARACTERSFight beautiful maidens, pirates, mermaids, angels, goddesses and dragons!■ BUILD A POWERFUL PARTY Choose from 250+ exotic crew members and evolve them into powerful demons and gods!**** Featured in the ""BEST NEW GAMES"" of the App Store! ****Do you like Slot Machines, RPGs, or card battle games? Do you want to try something truly new and unique? Don't wait - download FREE today and get a MEGA RARE card!"
Hungry Shark,Game,https://lh5.ggpht.com/1tDDm1NIk6OcYLTAECeBL-EYJAJ-PEXVpODpWpf4-075rWAZowf06nXpS8s1fO4kdg=w300,"1,000,000 - 5,000,000","October 18, 2013","Big fish eat small fish, must survive to become a shark!The hungry fish lives deep in the ocean, eat smaller fish than itself, but avoid the bigger ones! Your goal is become the biggest fish in the ocean! Eat or be Eaten! Have Fun!How to play: 1. Use your finger to navigate.2. Avoid big fish, eat small fish and grow up fast!Highlight features:- 20 different challenging levels.- Good performance, run well on low cpu phones.- Small app size with high game quality.Tags: fish tales, 3D fish."
Fish Farm 2,Game,https://lh6.ggpht.com/TCcgK54g5UrlyUlw8REloWlVHUvsG6_XZM-sajlb3dP3AWzvkkP8AWw67pH9eLyEUw=w300,"50,000 - 100,000","October 31, 2013","After the huge success of Fish Farm, you can now experience even more: most realistic fish movements ever, crossbreed your fish, play with your fish, interact with your friends, etc.With dozens exotic 3D fish along with various decorations at your fingertips, your possibilities are limitless.Buy, breed, and sell exotic freshwater or saltwater fish. Reaching higher levels in Fish Farm 2 earns coins and access to more fish, backgrounds, and aquarium decorations.Feed your vibrantly-colored fish, play with them – even annoy them by tapping on the glass!With Fish Farm 2, everything from the species of fish to the undersea home is yours to create!Features:* 115 species of brilliantly-colored, realistic 3D fish* Most realistic movements ever* Crossbreed your fish for unlimited variations* Customize up to 20 aquariums with lots of decorative items and corals* Saltwater or freshwater aquariums* Send and receive gifts from your friends* Acquire Skills and make Fish Farm 2 easier to play* Play with your fish to earn additional coins* Zoom into your tanks* Collect fish to earn rewards* Even play Fish Farm 2 offline"
Candy Blitz,Game,https://lh6.ggpht.com/_L7vD5d_r1yg_MfAKU2kZJyPvWAch6ZbhQ4YMWdwvsYR4s_EAftNOmRCFQQWjxnAFnQ=w300,"500,000 - 1,000,000","October 20, 2013","Candy Blitz is a very addictive match-three game!Match three or more same candies to make them boom! Reach the target score to move to the next level.Four same candies together produce bomb! Two groups of same candies cross will generate lightning!! Five same candies together will generate chocolate style tornado!!!Free play this ""Candy Blitz"", compete with your friends!Features:- Time Mode: There is no time to waste!- Easy to play but hard to master.- Reward players with many achievements!- Friends circle leaderboards.- Facebook, Twitter Share.Game style: candy crush saga, bejeweled blitz.Free download this best candy game, you'll love it!"
Droid Sky View,Game,https://lh5.ggpht.com/xV3bmjXghCosRXlD3m7-H3mUBIXPbvcK8wyk3XSJ_gk8a93EYy7n3hVCJEVQmw-BWg=w300,"50,000 - 100,000","November 2, 2013","Now you can have a virtual sky map in your pocket! Look through the eyes of your Android device to see a virtual window into the whole visible universe. All you have to do is point your Android device at the sky and Droid Sky View will tell you exactly what you are looking at. Using state of the art GPS technology, an accurate 3D universe, and all of the latest high tech functionality. Droid Sky View calculates – in real time - the current location of every star and planet visible from Earth and shows you precisely where they are, even in broad daylight!Want to know what that bright star is called? Point your device at it – you might just find out it’s a planet!Want to know what the night sky looks like to people on the other side of the earth? Well just point your device down!Want to know where your star sign is in the sky? The Star Chart View will tell you all this and more.Features:★ Just point and view. No need to scroll around the screen to find out what you are looking at.★ Alternatively, look around the sky using finger gestures – perfect for armchair astronomers!★ Supports dynamic device orientation viewing. Allows you to view the night sky whilst holding your Android device at any angle.★ Accurately depicts all the visible stars of the northern and southern hemispheres - a total of over 5000 stars!★ Displays all the planets of the solar system, plus the sun and the moon.★ Displays all 88 constellations, with constellation imagery based on the beautiful artwork.★ Includes entire Messier catalog of exotic deep sky maps and objects.★ Very powerful zoom function, lets you view the sky in extra detail, using intuitive finger gestures.★ Fully configurable. Star Maps displays only the sky objects that you are interested in.★ Allows you to view the sky underneath the horizon (unlike other more expensive applications). So now you can see where the sun is, even at night!★ Manually set your location to find out what the sky looks like from anywhere in the world.★ Full search feature★ Installable to SD cardSo point your Android device at the sky and see what's out there!With thanks to the StarDroid project (http://code.google.com/p/stardroid/ ) under Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0 )"
Kunundrum Full Free,Game,https://lh3.ggpht.com/gM3_r5hzpTdapMSuydV1amK3mccL_FQ_Iun8AwomHlXqkoIDc5iSQ6mnI4EaXFAThEGi=w300,"100,000 - 500,000","November 4, 2013","This is a full version of the hit game Kunundrum made completely free by our Friends at Mango!! Bored while travelling? This game will not disappoint with 12+ hours of puzzles, offering a calm but focused challenge from the mind massaging easy to the brain numbing difficult. It will suck you in and before you know it, you'll be where you want to be but smarter and happier after a healthy brain workout.Guide your spark, flinging orbs to their colourful goals to unlock stage after stage of brain boggling fun! Make your way through 200 levels of intense strategy using mind warping logic encountering Teleporters, Direction Changers, Blockers, Gates and Switches that alter your path as you try to complete the puzzles in as few moves as possible. And when you're done there, try out one of the upcoming Map Packs with fresh new mechanics adding to the addictive game play, the possibilities are endless!High end graphics, colourful intense art style, catchy electronic soundtrack, and fun for the young to the old. No mobile game fan should be without this great title. Download it today!Features:• 200 levels• Gradual difficulty going from super simple, to mind challenging• Ongoing updates featuring new map packs and game play mechanicsHTW Games can be followed at:• http://www.facebook.com/htwgames• http://twitter.com/htwgames"
Spirit Stones,Game,https://lh5.ggpht.com/1NGW-3THuiK2M8t_K5rR1AQ9oD8W0y5VGO9gwHvZ2G-txRhkgr760vIOgCJuD8r_414=w300,"100,000 - 500,000","November 4, 2013","Discover the unique Puzzle RPG with a TCG twist!Play for free NOW and connect with players around the world!""Spirit Stones basically blows the doors off, thanks to dynamic deck-building and habit-forming combat."" (Gamezebo)""Spirit Stones is a marriage of styles that just works."" (148Apps)________________________________________________★ EASY TO PLAY. DIFFICULT TO MASTER ★- Simply SWIPE & MATCH tiles of the same color to engage in battle!- Unleash devastating attacks by planning strategic combos!★ INTENSE GLOBAL PVP ★- Battle the best players around the world each week for generous rewards!- Compete against friends and climb the weekly rankings!★ RAID THE HELLGATE WITH FRIENDS ★- Put your skills to the test by entering Hellgate!- Play with friends and dive to new depths!★ BUILD THE ULTIMATE TEAM ★- Collect unique, powerful Heroes & assemble the finest team!- Level-up & evolve your cards for maximum power!- Each card comes equipped with beautifully illustrated artwork!★ OPTIMIZED FOR TABLETS ★- Play the game in brilliant HD on your Android Tablet!________________________________________________Join the community at www.facebook.com/PlaySpiritStonesNEWS & EVENTSWebsite http://www.gamevil.com Facebook http://facebook.com/gamevil Twitter http://twitter.com/gamevil YouTube http://youtube.com/gamevil"
5 Colors,Game,https://lh3.ggpht.com/rb0QTqmvzjhZXTLIhq4y2d3jNyFvSaqFSQ7YwFEBFtba6YOt0311dclozWNHerr-RzQ=w300,"10,000 - 50,000","November 4, 2013","5 Colors é un simpatico giochino che combina abilitá e un pizzico di fortuna creando dipendenza in meno di 2 minuti. Puoi giocare da solo (Puzzle), con gli amici (Sfida) o misurarti con il mondo intero (Timekiller)...CARATTERISTICHE:• FACILISSIMO DA CAPIRE (CON TUTORIAL INCLUSO!)• ATTENZIONE: CREA DIPENDENZA :)• GRAFICA HD• 3 MODALITÁ DI GIOCO (PUZZLE, SFIDA, TIMEKILLER)• INTEGRAZIONE CON I SERVIZI CLOUD DI GOOGLE • DECINE DI OBIETTIVI• CLASSIFICHE MONDIALI• OTTIMIZZATO PER I TABLET (N7&N10)• COMPLETAMENTE INTEGRATO CON FACEBOOKIl gioco consiste nel riempire lo schema con palline dello stesso colore nel minor numero possibile di mosse. Sembra facile? Forse...o forse NO!? Sfida migliaia di giocatori online in modalitá TIMEKILLER e dimostra il tuo valore, oppure mettiti alla prova, e cerca di finire ogni mondo in modalitá PUZZLE. E quando pensi di essere diventato abbastanza bravo, vai in modalitá SFIDA e invita i tuoi amici di Facebook (o degli sconosciuti) a fare una partita contro di te!Potrai inoltre scegliere tra divesi stili per le palline durante le sfide on line :BolleFruttaSportPesciCaramelleGemmeQuesto gioco é perfetto per i bambini per aiutare la concentrazione in maniera intelligente, ma va bene anche per gli anziani per mantenere allenata la testa!“Il miglior puzzle della categoria rompicapi, punto.” Android Games Magazine“Dimenticate Ruzzle e Candy Crush Saga, 5C sara’ il successo del 2014!” - Tuttoandroid.netFai ""Mi piace"" su Facebook https://www.facebook.com/five5colorsQuesto gioco é stato testato su tutta la linea Nexus (N1, N4, N7, N10, Galaxy Nexus e Nexus S) ed anche sull’ HTC One e l’SGS 3 / 4. Dovrebbe inoltre funzionare con tutte le mod di Cyanogen. Per segnalazioni, mandateci una mail all’indirizzo riportato in basso descrivendo il problema e tenteremo di risolverlo :)"
