44	342
18	338
495	138
263	416
371	201
332	392
430	224
134	56
348	313
369	231
155	175
8	185
483	200
386	66
184	330
15	95
447	275
33	325
430	386
404	430
0	380
423	41
324	105
476	477
13	102
475	440
405	247
5	459
18	150
145	437
79	43
100	472
431	189
501	496
151	135
141	298
346	405
143	188
72	436
76	321
294	461
299	422
474	6
23	43
299	85
322	194
404	111
415	158
106	463
184	132
478	464
263	368
47	113
17	497
209	142
188	350
61	349
252	217
147	349
464	481
65	468
128	220
220	154
288	212
410	378
445	156
206	120
33	5
187	205
334	468
418	134
320	378
15	147
184	289
433	410
131	340
453	363
71	285
157	236
113	35
371	81
349	431
439	16
234	439
27	112
124	340
0	163
136	83
385	378
236	8
483	272
28	95
253	154
475	300
486	465
151	441
404	489
121	70
76	269
282	68
407	6
286	233
296	375
23	297
376	89
195	297
124	317
359	171
306	221
111	141
244	330
16	181
328	443
355	276
500	332
376	220
444	469
258	162
26	96
205	404
193	125
383	95
11	29
480	59
181	374
235	405
203	42
234	450
143	154
454	377
186	117
281	370
391	380
190	10
163	50
274	487
220	396
418	327
76	491
454	47
475	348
408	236
282	127
179	35
213	336
211	429
242	248
435	219
250	456
121	359
68	120
38	229
6	190
167	10
64	346
332	226
225	99
281	125
497	259
125	295
354	422
462	178
24	450
57	2
134	278
262	170
3	165
331	434
191	280
360	67
330	160
214	355
427	219
293	124
100	13
12	426
420	107
289	221
144	243
497	130
412	220
394	66
231	168
440	189
142	404
254	14
17	166
98	397
261	256
323	344
456	181
446	280
115	310
484	337
323	152
321	364
92	43
42	302
147	395
157	149
219	223
392	227
388	333
269	194
93	489
397	346
465	380
297	426
263	274
371	455
38	19
486	89
125	107
396	88
212	158
55	278
457	482
421	411
66	137
159	465
234	102
381	255
220	392
266	370
254	288
130	92
463	71
62	4
192	464
55	210
66	145
238	265
46	27
428	258
213	125
474	391
200	55
284	199
235	273
469	485
62	231
154	20
355	351
143	429
226	38
314	66
25	246
411	204
307	418
375	428
492	323
405	469
31	313
153	313
43	385
384	131
260	396
90	6
81	128
349	362
262	187
46	266
425	44
310	475
289	45
400	162
217	260
319	136
297	106
184	193
315	363
458	284
367	246
185	70
396	319
433	321
313	366
25	297
89	451
72	367
87	84
270	176
290	22
418	174
469	58
392	406
222	12
242	333
390	433
269	468
396	104
432	405
212	264
494	119
303	421
318	313
348	501
75	208
372	33
163	97
42	438
283	199
148	167
82	209
208	187
92	259
110	217
168	162
314	475
353	356
163	53
389	115
399	71
482	160
382	240
405	343
246	329
353	376
200	195
76	0
79	69
445	406
383	422
470	290
318	267
386	266
319	382
440	433
111	495
95	369
386	498
173	312
61	106
395	370
34	84
23	226
69	113
334	443
348	177
236	104
259	160
17	275
153	483
489	396
376	67
352	415
79	28
80	160
483	288
283	162
74	161
194	159
299	490
161	454
463	232
144	321
214	263
212	287
483	140
268	98
215	293
490	321
412	428
210	138
497	30
6	199
70	86
420	383
267	420
488	463
276	238
232	323
56	273
400	74
182	240
388	7
424	448
465	132
349	86
195	373
403	364
49	288
167	0
173	357
253	245
317	416
208	332
285	398
345	384
60	133
306	269
50	460
381	434
415	5
183	15
326	18
453	277
335	359
147	286
165	100
451	236
293	232
390	394
